"MarketName":"BTC-1ST","High":0.00018500,"Low":0.00015560,"Volume":590731.96123504,"Last":0.00015992,"BaseVolume":98.30106182,"TimeStamp":"2017-08-17T05:28:58.593","Bid":0.00015701,"Ask":0.00016000,"OpenBuyOrders":101,"OpenSellOrders":2427,"PrevDay":0.00017304,"Created":"2017-06-06T01:22:35.727"
"MarketName":"BTC-2GIVE","High":0.00000116,"Low":0.00000104,"Volume":6782315.67843518,"Last":0.00000111,"BaseVolume":7.48892585,"TimeStamp":"2017-08-17T05:19:13.71","Bid":0.00000109,"Ask":0.00000111,"OpenBuyOrders":221,"OpenSellOrders":1854,"PrevDay":0.00000111,"Created":"2016-05-16T06:44:15.287"
"MarketName":"BTC-ABY","High":0.00000217,"Low":0.00000176,"Volume":30030302.11304138,"Last":0.00000181,"BaseVolume":58.45526966,"TimeStamp":"2017-08-17T05:27:08.523","Bid":0.00000181,"Ask":0.00000182,"OpenBuyOrders":420,"OpenSellOrders":3362,"PrevDay":0.00000216,"Created":"2014-10-31T01:43:25.743"
"MarketName":"BTC-ADT","High":0.00001827,"Low":0.00001314,"Volume":7985740.53062172,"Last":0.00001660,"BaseVolume":129.45040020,"TimeStamp":"2017-08-17T05:29:11.373","Bid":0.00001660,"Ask":0.00001698,"OpenBuyOrders":180,"OpenSellOrders":1121,"PrevDay":0.00001527,"Created":"2017-07-03T21:08:06.11"
"MarketName":"BTC-ADX","High":0.00046656,"Low":0.00015514,"Volume":45179072.15346578,"Last":0.00038200,"BaseVolume":12969.99533838,"TimeStamp":"2017-08-17T05:29:15.547","Bid":0.00037600,"Ask":0.00038000,"OpenBuyOrders":1455,"OpenSellOrders":1372,"PrevDay":0.00020648,"Created":"2017-07-11T22:42:17.78"
"MarketName":"BTC-AEON","High":0.00016000,"Low":0.00014672,"Volume":45093.88017618,"Last":0.00015808,"BaseVolume":6.96472659,"TimeStamp":"2017-08-17T05:29:03.623","Bid":0.00015350,"Ask":0.00015808,"OpenBuyOrders":152,"OpenSellOrders":1152,"PrevDay":0.00015812,"Created":"2015-07-31T00:50:47.11"
"MarketName":"BTC-AGRS","High":0.00013499,"Low":0.00011000,"Volume":178367.97904935,"Last":0.00011315,"BaseVolume":21.03355910,"TimeStamp":"2017-08-17T05:29:16.483","Bid":0.00011315,"Ask":0.00011316,"OpenBuyOrders":153,"OpenSellOrders":1728,"PrevDay":0.00011313,"Created":"2015-11-10T00:53:59.643"
"MarketName":"BTC-AMP","High":0.00006100,"Low":0.00005125,"Volume":807671.89775623,"Last":0.00005300,"BaseVolume":44.60187968,"TimeStamp":"2017-08-17T05:29:16.39","Bid":0.00005260,"Ask":0.00005346,"OpenBuyOrders":223,"OpenSellOrders":3452,"PrevDay":0.00005775,"Created":"2015-11-03T19:13:55.18"
"MarketName":"BTC-ANT","High":0.00062152,"Low":0.00055000,"Volume":200123.45658535,"Last":0.00058559,"BaseVolume":115.99398536,"TimeStamp":"2017-08-17T05:29:16.53","Bid":0.00057604,"Ask":0.00058560,"OpenBuyOrders":191,"OpenSellOrders":2523,"PrevDay":0.00062078,"Created":"2017-05-17T19:54:30.143"
"MarketName":"BTC-APX","High":0.00249000,"Low":0.00195000,"Volume":43394.61729620,"Last":0.00244949,"BaseVolume":99.69132459,"TimeStamp":"2017-08-17T05:28:18.633","Bid":0.00244949,"Ask":0.00244950,"OpenBuyOrders":333,"OpenSellOrders":864,"PrevDay":0.00196418,"Created":"2017-05-02T06:26:32.897"
"MarketName":"BTC-ARDR","High":0.00003528,"Low":0.00002900,"Volume":2239894.28106683,"Last":0.00002980,"BaseVolume":69.86105802,"TimeStamp":"2017-08-17T05:29:08.063","Bid":0.00002945,"Ask":0.00002970,"OpenBuyOrders":346,"OpenSellOrders":3302,"PrevDay":0.00003367,"Created":"2016-10-13T18:59:37.407"
"MarketName":"BTC-ARK","High":0.00041406,"Low":0.00032570,"Volume":4420298.75246328,"Last":0.00033952,"BaseVolume":1630.76520462,"TimeStamp":"2017-08-17T05:29:14.157","Bid":0.00033951,"Ask":0.00033983,"OpenBuyOrders":1319,"OpenSellOrders":4149,"PrevDay":0.00040027,"Created":"2017-03-21T18:11:29.347"
