BTC-DGB	956,83	0,00000616
BTC-ETH	444,36	0,06891143
BTC-ADA	422,29	0,00002056
BTC-SC	368,37	0,00000169
BTC-XVG	233,49	0,00000346
BTC-XRP	219,52	0,00007060
BTC-BCH	215,91	0,10969000
BTC-ETC	206,51	0,00257867
BTC-RDD	203,74	0,00000068
BTC-LTC	186,84	0,01210822
BTC-NEO	144,93	0,00537445
BTC-MCO	135,23	0,00122861
BTC-TUSD	122,12	0,00015500
BTC-SRN	106,46	0,00002674
BTC-ZRX	85,89	0,00013159
BTC-ARK	85,12	0,00022074
BTC-ZEN	78,97	0,00331488
BTC-POLY	77,58	0,00005413
BTC-TRX	76,58	0,00000549
BTC-MANA	75,11	0,00001485
BTC-DCR	72,09	0,00930530
BTC-OCN	70,10	0,00000111
BTC-DASH	65,48	0,03472000
BTC-WAX	63,66	0,00001825
BTC-XEM	60,40	0,00002592
BTC-STRAT	59,21	0,00036938
BTC-QTUM	58,46	0,00124789
BTC-XMR	55,09	0,01923766
BTC-OMG	55,00	0,00108625
BTC-XLM	53,47	0,00003024
BTC-REP	50,33	0,00486000
BTC-ZEC	45,15	0,02525000
BTC-STEEM	43,84	0,00021054
BTC-PAY	43,65	0,00009290
BTC-SNT	42,81	0,00001080
BTC-SYS	41,95	0,00002300
BTC-GRS	41,21	0,00009139
BTC-DOGE	37,38	0,00000038
BTC-WAVES	36,99	0,00042781
BTC-LSK	35,38	0,00080264
BTC-UKG	35,19	0,00001439
BTC-ARDR	34,36	0,00002359
BTC-POWR	34,14	0,00004012
BTC-PART	32,13	0,00073424
BTC-GNT	31,25	0,00004690
BTC-ZCL	31,17	0,00125001
BTC-LRC	30,95	0,00004342
BTC-ENG	29,86	0,00019149
BTC-BAT	29,71	0,00003926
BTC-IGNIS	28,91	0,00000933
BTC-NXT	28,54	0,00001310
BTC-BNT	28,49	0,00037895
BTC-NXS	25,59	0,00021089
BTC-KMD	24,51	0,00023313
BTC-STORM	21,78	0,00000264
BTC-BKX	21,58	0,00002947
BTC-BTG	20,01	0,00431100
BTC-EMC2	19,33	0,00001845
BTC-BURST	18,38	0,00000197
BTC-ADX	17,89	0,00005900
BTC-GAME	17,15	0,00007632
BTC-CVC	16,55	0,00002742
BTC-PIVX	16,30	0,00027600
BTC-NMR	16,28	0,00089249
BTC-VTC	15,82	0,00014549
BTC-GTO	15,47	0,00002276
BTC-VEE	14,12	0,00000304
BTC-SALT	14,02	0,00016025
BTC-XEL	13,86	0,00002197
BTC-GUP	12,43	0,00001644
BTC-DCT	12,24	0,00005100
BTC-MONA	11,71	0,00033382
BTC-MUE	11,53	0,00001040
BTC-BITB	11,29	0,00000057
BTC-AID	11,14	0,00001678
BTC-RCN	11,08	0,00000693
BTC-XZC	10,65	0,00265997
BTC-ANT	10,38	0,00026496
BTC-DMT	9,74	0,00002460
BTC-RLC	9,50	0,00011256
BTC-CLOAK	9,28	0,00059073
BTC-ADT	8,96	0,00000255
BTC-XDN	8,96	0,00000085
BTC-LUN	8,85	0,00115373
BTC-VIA	8,82	0,00016811
BTC-HMQ	8,78	0,00001087
BTC-SBD	8,59	0,00017626
BTC-CMCT	8,29	0,00000347
BTC-NLG	8,19	0,00000889
BTC-LBC	8,18	0,00001601
BTC-NGC	7,99	0,00004022
BTC-EMC	7,54	0,00043114
BTC-EDG	7,16	0,00005010
BTC-UBQ	7,09	0,00014001
BTC-GBYTE	6,94	0,01817792
BTC-FCT	6,83	0,00167824
BTC-NAV	6,64	0,00006648
BTC-TX	6,60	0,00005555
BTC-BLOCK	6,22	0,00181232
BTC-VIB	6,14	0,00001210
BTC-ION	6,03	0,00012480
BTC-SPHR	5,83	0,00012498
BTC-BLT	5,27	0,00003343
BTC-PRO	5,25	0,00008240
BTC-SLS	4,66	0,00367187
BTC-TIX	4,57	0,00003267
BTC-EXP	4,47	0,00012492
BTC-TUBE	4,29	0,00001106
BTC-CBC	4,24	0,00002267
BTC-STORJ	4,23	0,00006957
BTC-NBT	4,21	0,00003365
BTC-UNB	4,17	0,00004710
BTC-NLC2	4,11	0,00000581
BTC-AMP	4,10	0,00001803
BTC-INCNT	4,04	0,00003152
BTC-UP	4,03	0,00000720
BTC-GNO	3,90	0,00692333
BTC-WINGS	3,86	0,00003200
BTC-POT	3,85	0,00000805
BTC-DNT	3,84	0,00000557
BTC-XCP	3,83	0,00115000
BTC-BCPT	3,78	0,00002421
BTC-EBST	3,63	0,00001613
BTC-CFI	3,59	0,00000538
BTC-DOPE	3,55	0,00000292
BTC-ERC	3,47	0,00003547
BTC-QRL	3,45	0,00006399
BTC-MUSIC	3,32	0,00000108
BTC-IOP	3,24	0,00011662
BTC-FTC	3,15	0,00001300
BTC-SIB	3,10	0,00007185
BTC-SYNX	3,07	0,00002320
BTC-THC	3,05	0,00000823
BTC-SWT	2,98	0,00009054
BTC-BLK	2,96	0,00001880
BTC-RVR	2,95	0,00000688
BTC-BAY	2,89	0,00000406
BTC-MEME	2,61	0,00001355
BTC-DYN	2,36	0,00019718
BTC-VRC	2,31	0,00004412
BTC-OK	2,27	0,00001087
BTC-SLR	1,90	0,00002345
BTC-XMY	1,81	0,00000055
BTC-OMNI	1,76	0,00182703
BTC-BSD	1,75	0,00003977
BTC-PTOY	1,67	0,00000943
BTC-SHIFT	1,64	0,00014752
BTC-PPC	1,61	0,00021063
BTC-KORE	1,59	0,00022900
BTC-RADS	1,58	0,00035492
BTC-PINK	1,55	0,00000165
BTC-LMC	1,50	0,00000350
BTC-CRW	1,50	0,00006801
BTC-SEQ	1,48	0,00001610
BTC-MORE	1,46	0,00004052
BTC-ENRG	1,45	0,00000588
BTC-MER	1,44	0,00001850
BTC-GLD	1,28	0,00000967
BTC-EXCL	1,26	0,00006893
BTC-AEON	1,21	0,00018700
BTC-FLDC	1,17	0,00000112
BTC-RBY	1,12	0,00004094
BTC-DMD	1,02	0,00049607
BTC-ABY	0,99	0,00000057
BTC-GOLOS	0,96	0,00000530
BTC-EFL	0,96	0,00001195
BTC-CLAM	0,94	0,00042683
BTC-FLO	0,92	0,00000616
BTC-GBG	0,90	0,00000639
BTC-IOC	0,83	0,00007057
BTC-CANN	0,75	0,00000375
BTC-AUR	0,71	0,00006200
BTC-VTR	0,70	0,00000669
BTC-PTC	0,65	0,00000320
BTC-BYC	0,57	0,00005904
BTC-BCY	0,51	0,00002769
BTC-MLN	0,51	0,00380788
BTC-SPR	0,48	0,00003959
BTC-GAM	0,47	0,00072141
BTC-2GIVE	0,43	0,00000083
BTC-QWARK	0,41	0,00000570
BTC-XWC	0,39	0,00001741
BTC-VRM	0,37	0,00020700
BTC-GEO	0,36	0,00012865
BTC-TRUST	0,36	0,00000489
BTC-XMG	0,35	0,00001786
BTC-GRC	0,33	0,00000396
BTC-CRB	0,33	0,00000852
BTC-COVAL	0,31	0,00000053
BTC-BRK	0,28	0,00001172
BTC-NEOS	0,27	0,00024743
BTC-TKS	0,24	0,00011601
BTC-BITS	0,23	0,00002956
BTC-CURE	0,21	0,00002442
BTC-XST	0,20	0,00002820
BTC-NXC	0,20	0,00001179
BTC-EGC	0,10	0,00001408
BTC-BRX	0,09	0,00005400
BTC-DTB	0,06	0,00005450
