BTC-ETH	296,33	0,02335748
BTC-XRP	176,56	0,00002816
BTC-TUSD	104,66	0,00019312
BTC-HBAR	100,74	0,00000823
BTC-BSV	86,22	0,02228195
BTC-WAXP	77,17	0,00000615
BTC-CTC	58,24	0,00003270
BTC-ADA	55,39	0,00000501
BTC-BCH	48,69	0,03248844
BTC-HEDG	36,05	0,00027073
BTC-LTC	35,34	0,00666325
BTC-BOA	34,29	0,00000992
BTC-TSHP	33,27	0,00000098
BTC-XEM	21,66	0,00000643
BTC-XTZ	18,91	0,00030479
BTC-DGB	17,56	0,00000066
BTC-RVN	17,24	0,00000265
BTC-STRAT	16,58	0,00003845
BTC-LINK	16,31	0,00041093
BTC-ETC	15,79	0,00089006
BTC-NMR	15,54	0,00112018
BTC-XTP	15,54	0,00001376
BTC-FCT	14,85	0,00036113
BTC-BFT	14,25	0,00000099
BTC-DASH	13,68	0,00883213
BTC-ZEC	12,58	0,00481003
BTC-NEO	12,41	0,00111639
BTC-TRX	11,81	0,00000187
BTC-DAI	11,79	0,00019965
BTC-ENJ	10,97	0,00000960
BTC-DOGE	10,67	0,00000032
BTC-BURST	10,35	0,00000070
BTC-LOOM	10,25	0,00000261
BTC-XMR	10,23	0,00695272
BTC-STEEM	10,04	0,00002512
BTC-XLM	9,50	0,00000715
BTC-ZRX	7,88	0,00003038
BTC-ABBC	7,84	0,00001954
BTC-BAT	7,32	0,00002336
BTC-DCR	7,24	0,00211588
BTC-OCEAN	7,07	0,00000507
BTC-LSK	7,05	0,00014843
BTC-MANA	7,01	0,00000452
BTC-SRN	6,97	0,00000155
BTC-VTC	6,80	0,00003300
BTC-CPC	6,34	0,00000039
BTC-WAVES	6,31	0,00015557
BTC-PXL	5,93	0,00000226
BTC-MONA	5,82	0,00019597
BTC-DMT	5,81	0,00001983
BTC-XVG	5,68	0,00000039
BTC-STPT	5,50	0,00000308
BTC-LBC	4,59	0,00000167
BTC-EOS	4,38	0,00037935
BTC-KMD	4,30	0,00005859
BTC-QTUM	4,28	0,00022577
BTC-SOLVE	4,03	0,00001032
BTC-APM	4,02	0,00004006
BTC-ARK	3,84	0,00002074
BTC-EMC2	3,71	0,00000786
BTC-RDD	3,63	0,00000011
BTC-XHV	3,58	0,00004725
BTC-IGNIS	3,58	0,00000309
BTC-ZIL	3,38	0,00000068
BTC-GRS	3,31	0,00002420
BTC-CRO	3,26	0,00000621
BTC-SC	3,22	0,00000021
BTC-PIVX	3,08	0,00003951
BTC-ATOM	2,80	0,00035752
BTC-ZEN	2,73	0,00100066
BTC-QNT	2,55	0,00037036
BTC-NPXS	2,49	0,00000003
BTC-GNT	2,32	0,00000620
BTC-WICC	2,22	0,00002531
BTC-ARDR	2,10	0,00000612
BTC-POWR	2,00	0,00001042
BTC-LAMB	1,99	0,00000241
BTC-CVC	1,97	0,00000339
BTC-URAC	1,94	0,00000019
BTC-MTL	1,86	0,00003333
BTC-REP	1,85	0,00141815
BTC-SIX	1,82	0,00000124
BTC-PART	1,71	0,00006589
BTC-VIA	1,60	0,00001831
BTC-CURE	1,58	0,00000442
BTC-RCN	1,50	0,00000692
BTC-SBD	1,43	0,00013349
BTC-DUSK	1,42	0,00000311
BTC-SPND	1,37	0,00000012
BTC-NXS	1,26	0,00002069
BTC-VRA	1,22	0,00000007
BTC-VANY	1,17	0,00001111
BTC-GBYTE	1,13	0,00235001
BTC-IOTA	1,03	0,00002370
BTC-PAY	1,02	0,00000467
BTC-EDR	0,98	0,00000053
BTC-GAME	0,97	0,00000536
BTC-COSM	0,95	0,00000256
BTC-FTC	0,91	0,00000090
BTC-FX	0,91	0,00000730
BTC-TUBE	0,91	0,00000080
BTC-BLK	0,86	0,00000379
BTC-PPC	0,84	0,00002467
BTC-PTON	0,84	0,00000001
BTC-NLG	0,84	0,00000153
BTC-ONT	0,83	0,00006413
BTC-ADT	0,80	0,00000028
BTC-ANT	0,80	0,00011900
BTC-ENG	0,77	0,00001867
BTC-XST	0,74	0,00000485
BTC-STORJ	0,74	0,00001536
BTC-BTU	0,73	0,00001970
BTC-XZC	0,72	0,00056151
BTC-BLOCK	0,72	0,00015750
BTC-CRW	0,69	0,00000681
BTC-SNT	0,69	0,00000180
BTC-MCO	0,68	0,00050000
BTC-RLC	0,66	0,00004689
BTC-XDN	0,64	0,00000003
BTC-FLO	0,63	0,00000318
BTC-MAID	0,60	0,00000970
BTC-APIX	0,60	0,00000885
BTC-VET	0,59	0,00000049
BTC-OMG	0,59	0,00008990
BTC-LRC	0,58	0,00000560
BTC-UPP	0,56	0,00000239
BTC-PI	0,56	0,00000044
BTC-HYDRO	0,55	0,00000005
BTC-HDAC	0,53	0,00000386
BTC-NAV	0,52	0,00000967
BTC-GRIN	0,50	0,00009440
BTC-NXT	0,49	0,00000150
BTC-GTO	0,47	0,00000194
BTC-LBA	0,46	0,00000228
BTC-IOST	0,45	0,00000051
BTC-ADX	0,45	0,00001025
BTC-GO	0,44	0,00000107
BTC-XEL	0,38	0,00000068
BTC-STORM	0,38	0,00000016
BTC-TTC	0,37	0,00000393
BTC-VIB	0,36	0,00000170
BTC-MOC	0,32	0,00000289
BTC-OK	0,30	0,00000427
BTC-PAX	0,30	0,00019197
BTC-SYS	0,29	0,00000288
BTC-BTT	0,29	0,00000004
BTC-AKRO	0,29	0,00000026
BTC-OST	0,28	0,00000131
BTC-RFR	0,27	0,00000010
BTC-ELF	0,26	0,00001013
BTC-BTS	0,25	0,00000278
BTC-DTA	0,25	0,00000003
BTC-CHR	0,25	0,00000237
BTC-ORBS	0,25	0,00000155
BTC-XMY	0,24	0,00000013
BTC-MED	0,23	0,00000043
BTC-IHT	0,22	0,00000016
BTC-EDG	0,22	0,00000123
BTC-MER	0,21	0,00000061
BTC-MFT	0,21	0,00000011
BTC-ONG	0,20	0,00001275
BTC-BTM	0,19	0,00000918
BTC-CND	0,18	0,00000057
BTC-ANKR	0,17	0,00000024
BTC-QRL	0,17	0,00001040
BTC-RADS	0,17	0,00005786
BTC-CKB	0,17	0,00000062
BTC-MET	0,16	0,00004367
BTC-PMA	0,16	0,00000002
BTC-BKX	0,15	0,00000020
BTC-FSN	0,14	0,00001863
BTC-SPIN	0,14	0,00000028
BTC-DCT	0,12	0,00000223
BTC-NKN	0,12	0,00000178
BTC-CTXC	0,11	0,00000789
BTC-SLS	0,11	0,00085119
BTC-CMCT	0,11	0,00000004
BTC-GNO	0,10	0,00169601
BTC-DRGN	0,10	0,00000479
BTC-USDS	0,10	0,00019953
BTC-BNT	0,09	0,00002937
BTC-GEO	0,09	0,00001742
BTC-VDX	0,09	0,00000010
BTC-AEON	0,09	0,00001761
BTC-MUE	0,09	0,00000044
BTC-IOTX	0,09	0,00000036
BTC-PROM	0,08	0,00008311
BTC-VRC	0,07	0,00000274
BTC-BORA	0,07	0,00000222
BTC-ION	0,07	0,00000340
